Wavelength [nm]	Abs_Stable	Abs_PSS	EpsilonAvg_Stable	EpsilonPlusError_Stable	EpsilonMinusError_Stable	Abs_Metastable_before_rescaling	Abs_Metastable_rescaled	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable	EpsilonAvg_Stable * total_conc_avg	EpsilonAvg_Metastable * total_conc_avg
472.36	0.312	0.3265	6642.769398579979	6673.150368126813	6612.388429033144	0.20482	0.3357704918032787	6979.37642060161	7016.956334585234	6941.796506617991	0.3195766804199262	0.3357704918032787
472.936	0.30371438474870066	0.3207100519930679	6459.112938327445	6489.2257255638015	6429.000151091088	0.20226144194107465	0.33157613432963057	6892.191869350737	6929.302344843116	6855.0813938583615	0.3107411604156151	0.33157613432963057
473.513	0.2949	0.3143	6233.6557387865205	6261.412570441282	6205.898907131759	0.19928900000000002	0.3267032786885246	6790.903952178861	6827.469050694056	6754.33885366367	0.29989465061181797	0.3267032786885246
474.09	0.2844	0.3068	6011.330504969512	6038.039972636617	5984.621037302407	0.195884	0.32112131147540984	6674.876334211141	6710.81669096716	6638.935977455124	0.2891988163996576	0.32112131147540984
474.667	0.275	0.3002	5829.393471913923	5855.250605455828	5803.536338372019	0.19295	0.31631147540983606	6574.898351504153	6610.300384524073	6539.496318484236	0.2804460162374565	0.31631147540983606
475.243	0.26551646447140437	0.29351161178509566	5648.535143707528	5674.640093374797	5622.430194040258	0.18996019064124797	0.3114101485922098	6473.018628134521	6507.872097642434	6438.165158626612	0.27174511143608665	0.3114101485922098
475.82	0.2555	0.2862	5444.654679589113	5474.527314832578	5414.782044345648	0.186555	0.305827868852459	6356.984513940695	6391.213206711005	6322.75582117039	0.26193663578143495	0.305827868852459
476.397	0.2466	0.2795	5252.6919063473015	5281.009803967833	5224.37400872677	0.18332600000000002	0.3005344262295082	6246.954211909046	6280.5904550052355	6213.317968812859	0.25270150775637734	0.3005344262295082
476.973	0.23771542461005163	0.2732109185441938	5057.278805780275	5079.685545125401	5034.8720664351495	0.1805019029462737	0.2959047589283175	6150.721244492446	6183.839328598497	6117.603160386399	0.24330038809638657	0.2959047589283175
477.55	0.2293	0.2668	4861.997519010393	4881.9280305396005	4842.067007481186	0.17737299999999998	0.29077540983606553	6044.101815503218	6076.645815517949	6011.557815488491	0.23390560986016007	0.29077540983606553
478.127	0.2209	0.2601	4693.086269135841	4714.2198274881575	4671.952710783524	0.173949	0.2851622950819672	5927.426760019674	5959.342532197865	5895.510987841485	0.22577946648808553	0.2851622950819672
478.704	0.2122	0.2538	4518.418344802189	4539.317579823123	4497.519109781254	0.17104200000000003	0.28039672131147547	5828.368820098334	5859.751222439838	5796.986417756833	0.21737637553533923	0.28039672131147547
479.28	0.2041	0.2482	4342.618679656866	4362.783957180365	4322.4534021333675	0.168601	0.27639508196721313	5745.190137144088	5776.1246702831995	5714.255604004979	0.2089188377171385	0.27639508196721313
479.857	0.1957	0.2418	4173.924535728944	4200.460126656111	4147.388944801776	0.16547699999999999	0.27127377049180323	5638.737779278842	5669.099127908214	5608.376430649473	0.20080313908483446	0.27127377049180323
