Wavelength [nm],Epsilons_averaged,Epsilons_averaged_plus_error,Epsilons_averaged_minus_error
572.13,1.1104528511383573,8.253648413883939,-6.032742711607224
572.707,7.124183806063325,19.19260836443774,-4.944240752311089
573.284,6.86881439491222,19.85123608323091,-6.113607293406468
573.861,0.8347080277593237,2.577832856810489,-0.9084168012918414
574.437,14.893626011199952,23.693408788470244,6.093843233929659
575.014,4.354863795604556,9.565621939152855,-0.8558943479437415
575.591,17.03407987024282,25.60686067080298,8.46129906968266
576.167,26.78543451764372,37.565744500163646,16.005124535123787
576.744,3.577112000954751,8.695933943735415,-1.5417099418259137
577.321,9.306995805965695,17.36230622685587,1.25168538507552
577.898,29.09667092568082,37.381174010950105,20.812167840411536
578.474,19.89997401017827,31.32681431908442,8.47313370127212
579.051,3.1388055964954042,14.669658193658691,-8.392047000667883
579.628,0.8944278630708863,8.552968288620765,-6.764112562478992
580.204,-0.3757408959746162,3.222177342301639,-3.9736591342508714
580.781,4.349895596644234,14.226369973929604,-5.526578780641137
581.358,0.587367234093134,6.65821423165889,-5.483479763472623
581.934,6.600484130750075,13.2420859180457,-0.04111765654555022
582.511,15.687304271577322,26.299107135830226,5.075501407324415
583.088,15.824825112017622,25.68155375955025,5.968096464484994
583.665,20.731371486328353,30.068855692793257,11.39388727986345
584.241,20.059832045646235,30.8452022113217,9.274461879970774
584.818,24.216061828517994,35.28431941820714,13.147804238828845
585.395,27.260983369504846,36.75155379005516,17.77041294895453
585.971,18.771479733226585,28.050323205168716,9.492636261284453
586.548,16.142198514027623,25.15684737066191,7.127549657393335
587.125,22.911558101868447,32.98053026354727,12.84258594018962
587.702,19.005295791868967,30.31131309020256,7.699278493535374
588.278,3.9716604027287,9.300137966296106,-1.3568171608387045
588.855,14.406171437571848,23.63189105866302,5.1804518164806765
589.432,20.851367948909125,30.414671776826324,11.288064120991926
590.008,28.171592629754237,38.979832925476714,17.363352334031763
590.585,20.151326084528865,30.73215973709295,9.570492431964782
591.162,12.45665460227379,21.282437000570866,3.6308722039767165
591.739,20.958641756061223,30.85724947905996,11.060034033062488
592.315,21.362879435696495,32.025823947961,10.699934923431986
592.892,29.75402554190229,38.445482999181124,21.062568084623457
593.469,23.422470877398663,31.269681119382422,15.575260635414903
594.045,20.055088429304828,29.85761105000239,10.252565808607265
594.622,28.58824723181973,39.47203835661279,17.704456107026665
595.199,32.225622948529946,42.93774745714104,21.513498439918852
595.776,27.304471259498403,37.08760996615198,17.521332552844825
596.352,20.92266942046757,30.580774197005486,11.264564643929656
596.929,24.653128534664727,33.28502433362455,16.021232735704906
